CONTIGS;total_genes;viral_genes;checkv_quality;completeness
NODE_A246_length_1370_cov_21.699149_CE26;4;4;Low-quality;4,65
NODE_A380_length_1234_cov_18.426102_CE26;2;0;Not-determined;NA
NODE_A535_length_1130_cov_16.917379_CE26;1;0;Not-determined;NA
NODE_A809_length_1002_cov_13.566486_CE26;1;0;Not-determined;NA
NODE_A304_length_1938_cov_36.084901_CE27;1;0;Not-determined;NA
NODE_A51_length_2393_cov_12.016839_CE28;3;0;Not-determined;NA
NODE_A156_length_1813_cov_9.019585_CE28;1;0;Not-determined;NA
NODE_A574_length_1227_cov_19.024348_CE28;1;0;Not-determined;NA
NODE_A51_length_2098_cov_14.526967_CE29;2;0;Not-determined;NA
NODE_A734_length_1656_cov_12.804940_CE30;2;0;Not-determined;NA
NODE_A1116_length_1442_cov_14.830037_CE30;2;0;Not-determined;NA
NODE_A1346_length_1367_cov_7.490698_CE30;2;0;Not-determined;NA
NODE_A1543_length_1320_cov_8.402253_CE30;3;0;Not-determined;NA
NODE_A42_length_1985_cov_20.032495_CE31;1;0;Not-determined;NA
NODE_A46_length_1963_cov_13.405090_CE31;5;0;Not-determined;NA
NODE_B2_length_3121_cov_12.040407_CE32;11;0;Not-determined;NA
NODE_A343_length_1938_cov_6.244492_CE32;6;0;Not-determined;NA
NODE_A854_length_1361_cov_8.652648_CE32;1;0;Not-determined;NA
NODE_A1385_length_1123_cov_7.112811_CE33;3;0;Not-determined;NA
NODE_A1489_length_1089_cov_10.202569_CE33;2;0;Not-determined;NA
NODE_A2_length_6174_cov_11.442841_CE34;7;0;Not-determined;NA
NODE_B15_length_1809_cov_11.533487_CE35;2;0;Not-determined;NA
NODE_A862_length_1240_cov_8.196045_CE35;2;0;Not-determined;NA
NODE_A608_length_2255_cov_16.395776_CE37;2;0;Not-determined;NA
NODE_A1535_length_1455_cov_20.820755_CE37;1;1;Low-quality;0,74
NODE_A2925_length_1125_cov_7.575382_CE37;3;0;Not-determined;NA
NODE_A2942_length_1122_cov_20.579904_CE37;1;0;Not-determined;NA
NODE_A3140_length_1094_cov_3.881023_CE37;2;0;Not-determined;NA
NODE_A882_length_1429_cov_14.625740_CE38;1;0;Not-determined;NA
NODE_A1081_length_1351_cov_9.725275_CE38;6;0;Not-determined;NA
NODE_A1462_length_1242_cov_10.703863_CE38;1;0;Not-determined;NA
NODE_B74_length_1167_cov_10.147706_CE38;1;0;Not-determined;NA
NODE_A2324_length_1084_cov_17.251241_CE38;3;0;Not-determined;NA
NODE_A2755_length_1031_cov_9.203354_CE38;5;0;Not-determined;NA
NODE_A482_length_1198_cov_5.659233_CE39;1;0;Not-determined;NA
NODE_A472_length_1398_cov_5.320969_CE41;2;0;Not-determined;NA
NODE_A194_length_1691_cov_16.101611_CE43;1;0;Not-determined;NA
NODE_A543_length_1411_cov_10.071964_CE44;6;0;Not-determined;NA
NODE_A401_length_1266_cov_10.460892_CE49;0;0;Not-determined;NA
NODE_A498_length_1181_cov_10.707428_CE49;1;0;Not-determined;NA
NODE_A565_length_1147_cov_16.185047_CE49;1;0;Not-determined;NA
NODE_B59_length_1362_cov_16.573541_CE53;1;0;Not-determined;NA
NODE_A841_length_1274_cov_28.532164_CE53;1;0;Not-determined;NA
NODE_A2_length_10953_cov_82.329901_CE2;17;3;Low-quality;26,65
NODE_A4_length_9941_cov_99.719688_CE2;14;1;Low-quality;6,47
NODE_A5_length_9438_cov_48.693088_CE2;10;0;Not-determined;NA
NODE_A8_length_8190_cov_21.394182_CE2;6;0;Not-determined;NA
NODE_A9_length_8092_cov_26.552589_CE2;17;2;Low-quality;8,41
NODE_A10_length_8030_cov_42.879794_CE2;7;0;Not-determined;NA
NODE_A12_length_7731_cov_40.797883_CE2;7;0;Low-quality;16,11
NODE_A13_length_7582_cov_38.001332_CE2;6;4;Low-quality;17,74
NODE_A14_length_7427_cov_38.278367_CE2;6;0;Not-determined;NA
NODE_A18_length_6865_cov_25.756924_CE2;11;1;Low-quality;3,72
NODE_A19_length_6858_cov_44.693113_CE2;6;0;Not-determined;NA
NODE_A20_length_6628_cov_25.293085_CE2;7;4;Low-quality;7,72
NODE_A21_length_6556_cov_52.734064_CE2;3;1;Low-quality;10,55
NODE_A22_length_6458_cov_101.493810_CE2;9;3;Complete;100,00
NODE_A23_length_6438_cov_136.297595_CE2;9;0;Low-quality;12,57
NODE_A24_length_6411_cov_45.478686_CE2;5;0;Not-determined;NA
NODE_A26_length_6329_cov_52.012636_CE2;6;0;Not-determined;NA
NODE_A27_length_6203_cov_89.362880_CE2;13;1;Low-quality;4,40
NODE_A28_length_6038_cov_68.454454_CE2;6;0;Not-determined;NA
NODE_A29_length_6021_cov_62.041218_CE2;8;5;High-quality;100,00
NODE_A30_length_6010_cov_16.419855_CE2;3;0;Not-determined;NA
NODE_A31_length_6007_cov_30.572175_CE2;9;5;Low-quality;13,90
NODE_A32_length_5985_cov_39.833108_CE2;8;7;Low-quality;11,22
NODE_A33_length_5884_cov_36.326847_CE2;13;5;Low-quality;13,14
NODE_A34_length_5795_cov_12.187128_CE2;13;13;Low-quality;19,05
NODE_A35_length_5771_cov_74.676502_CE2;11;1;Low-quality;7,69
NODE_A36_length_5742_cov_56.162930_CE2;9;0;Not-determined;NA
NODE_A37_length_5740_cov_22.019424_CE2;3;3;Low-quality;13,33
NODE_A38_length_5712_cov_21.981189_CE2;9;8;Low-quality;18,85
NODE_A41_length_5610_cov_40.751130_CE2;8;0;Not-determined;NA
NODE_A42_length_5610_cov_20.287005_CE2;8;0;Not-determined;NA
NODE_A43_length_5609_cov_28.637563_CE2;5;0;Not-determined;NA
NODE_A44_length_5605_cov_62.576339_CE2;12;3;Low-quality;3,10
NODE_A46_length_5415_cov_43.880480_CE2;4;0;Not-determined;NA
NODE_A47_length_5322_cov_21.448046_CE2;8;7;Low-quality;12,50
NODE_A48_length_5249_cov_21.677494_CE2;13;5;Low-quality;10,86
NODE_A50_length_5233_cov_51.317106_CE2;9;1;Low-quality;8,91
NODE_A51_length_5224_cov_27.709151_CE2;8;3;Low-quality;8,12
NODE_A53_length_5206_cov_41.369468_CE2;7;0;Not-determined;NA
NODE_A56_length_5106_cov_46.175780_CE2;2;2;Low-quality;11,56
NODE_A57_length_5100_cov_19.687836_CE2;10;5;Low-quality;8,51
NODE_A59_length_5050_cov_46.010658_CE2;3;0;Not-determined;NA
NODE_A60_length_5024_cov_17.711744_CE2;9;8;Low-quality;11,64
NODE_A61_length_5013_cov_38.662277_CE2;5;0;Not-determined;NA
NODE_A64_length_4952_cov_56.737641_CE2;8;6;High-quality;100,00
NODE_A69_length_4739_cov_45.537109_CE2;3;0;Not-determined;NA
NODE_A70_length_4725_cov_27.645009_CE2;7;7;Low-quality;15,59
NODE_A71_length_4683_cov_18.872558_CE2;5;0;Not-determined;NA
NODE_A72_length_4680_cov_39.476211_CE2;8;0;Not-determined;NA
NODE_A74_length_4616_cov_50.931923_CE2;5;0;Not-determined;NA
NODE_A75_length_4579_cov_22.912928_CE2;12;2;Low-quality;4,23
NODE_A78_length_4507_cov_64.286907_CE2;10;0;Not-determined;NA
NODE_A80_length_4472_cov_87.774289_CE2;5;3;Low-quality;5,21
NODE_A81_length_4441_cov_44.486939_CE2;13;2;Low-quality;1,54
NODE_A82_length_4425_cov_43.079577_CE2;4;1;Low-quality;10,21
NODE_A83_length_4400_cov_25.219292_CE2;3;3;Low-quality;9,76
NODE_A84_length_4388_cov_18.455347_CE2;2;0;Not-determined;NA
NODE_A85_length_4383_cov_63.192987_CE2;9;6;Low-quality;8,18
NODE_A86_length_4371_cov_49.099208_CE2;13;3;Low-quality;9,82
NODE_A90_length_4260_cov_22.221133_CE2;3;3;Low-quality;8,57
NODE_A92_length_4226_cov_45.227766_CE2;2;0;Not-determined;NA
NODE_A93_length_4219_cov_55.054563_CE2;5;0;Not-determined;NA
NODE_A94_length_4216_cov_27.546267_CE2;5;0;Not-determined;NA
NODE_A95_length_4183_cov_25.995129_CE2;6;0;Not-determined;NA
NODE_A96_length_4170_cov_72.356462_CE2;5;1;Low-quality;6,71
NODE_A97_length_4161_cov_24.348188_CE2;6;3;Low-quality;9,45
NODE_A99_length_4108_cov_35.057306_CE2;3;0;Not-determined;NA
NODE_A101_length_4095_cov_73.096068_CE2;5;0;Not-determined;NA
NODE_A104_length_4029_cov_37.323128_CE2;4;0;Not-determined;NA
NODE_A105_length_4007_cov_27.507125_CE2;4;4;Low-quality;9,90
NODE_A108_length_3982_cov_56.096287_CE2;4;1;Low-quality;2,12
NODE_A109_length_3969_cov_31.719681_CE2;10;4;Low-quality;1,82
NODE_A112_length_3950_cov_40.829331_CE2;2;0;Not-determined;NA
NODE_A113_length_3946_cov_54.642543_CE2;10;0;Low-quality;10,17
NODE_A114_length_3943_cov_41.317124_CE2;11;1;Low-quality;5,29
NODE_A115_length_3940_cov_53.092933_CE2;6;0;Not-determined;NA
NODE_A116_length_3922_cov_49.475943_CE2;3;0;Not-determined;NA
NODE_A121_length_3861_cov_18.091966_CE2;2;0;Not-determined;NA
NODE_A124_length_3829_cov_37.908049_CE2;6;0;Low-quality;2,22
NODE_A125_length_3820_cov_22.030457_CE2;4;0;Not-determined;NA
NODE_A127_length_3790_cov_50.236197_CE2;3;0;Not-determined;NA
NODE_A129_length_3770_cov_22.656106_CE2;8;6;Low-quality;9,51
NODE_A131_length_3740_cov_34.706525_CE2;4;1;Low-quality;7,81
NODE_A133_length_3722_cov_30.086420_CE2;6;0;Not-determined;NA
NODE_A134_length_3682_cov_47.910402_CE2;4;0;Not-determined;NA
NODE_A139_length_3638_cov_33.968829_CE2;4;2;Low-quality;6,36
NODE_A141_length_3626_cov_39.153564_CE2;5;3;Low-quality;9,19
NODE_A142_length_3606_cov_22.576084_CE2;9;1;Low-quality;1,88
NODE_A143_length_3600_cov_97.892989_CE2;4;0;Not-determined;NA
NODE_B29_length_3598_cov_8.842658_CE2;6;1;Low-quality;8,81
NODE_A144_length_3590_cov_43.911472_CE2;4;0;Not-determined;NA
NODE_A145_length_3580_cov_13.241222_CE2;3;0;Not-determined;NA
NODE_A148_length_3564_cov_30.381990_CE2;2;0;Not-determined;NA
NODE_A149_length_3540_cov_18.379151_CE2;4;3;Low-quality;6,21
NODE_A150_length_3535_cov_24.216021_CE2;9;1;Low-quality;7,40
NODE_A154_length_3494_cov_21.020486_CE2;3;0;Not-determined;NA
NODE_A157_length_3451_cov_14.334025_CE2;3;1;Low-quality;8,76
NODE_A159_length_3446_cov_38.786584_CE2;2;0;Not-determined;NA
NODE_A160_length_3444_cov_10.905257_CE2;4;3;Low-quality;7,93
NODE_A161_length_3438_cov_39.608747_CE2;5;2;Medium-quality;72,50
NODE_A162_length_3428_cov_21.886303_CE2;4;3;Low-quality;4,50
NODE_A163_length_3418_cov_27.150853_CE2;4;3;Low-quality;3,66
NODE_A164_length_3418_cov_20.281054_CE2;3;0;Not-determined;NA
NODE_A166_length_3402_cov_49.197594_CE2;3;0;Not-determined;NA
NODE_A167_length_3402_cov_26.968722_CE2;4;0;Low-quality;1,41
NODE_A173_length_3377_cov_23.013333_CE2;4;2;Low-quality;7,99
NODE_A174_length_3377_cov_11.124242_CE2;2;0;Not-determined;NA
NODE_A175_length_3367_cov_7.834043_CE2;6;1;Low-quality;3,38
NODE_A176_length_3350_cov_35.281699_CE2;7;2;Low-quality;7,09
NODE_A177_length_3345_cov_24.734394_CE2;5;0;Not-determined;NA
NODE_B37_length_3321_cov_15.758015_CE2;4;2;Medium-quality;87,48
NODE_A178_length_3303_cov_36.595164_CE2;2;1;Not-determined;NA
NODE_A179_length_3293_cov_13.995647_CE2;4;2;Low-quality;5,63
NODE_A180_length_3291_cov_31.903547_CE2;5;0;Not-determined;NA
NODE_A182_length_3286_cov_25.705516_CE2;4;0;Not-determined;NA
NODE_A187_length_3241_cov_9.397914_CE2;4;0;Not-determined;NA
NODE_A188_length_3233_cov_60.960076_CE2;4;0;Not-determined;NA
NODE_A189_length_3231_cov_26.157261_CE2;4;3;Low-quality;7,56
NODE_A190_length_3218_cov_10.169373_CE2;3;3;Low-quality;44,30
NODE_A191_length_3216_cov_84.505256_CE2;9;1;Low-quality;5,52
NODE_A193_length_3211_cov_96.119655_CE2;8;1;Low-quality;1,74
NODE_A196_length_3167_cov_21.484466_CE2;3;1;Low-quality;2,83
NODE_A198_length_3136_cov_5.968290_CE2;2;1;Low-quality;3,24
NODE_A199_length_3134_cov_18.779195_CE2;13;5;Low-quality;7,27
NODE_A200_length_3117_cov_11.165461_CE2;1;0;Not-determined;NA
NODE_A201_length_3116_cov_24.583416_CE2;7;0;Low-quality;5,68
NODE_A202_length_3110_cov_65.693703_CE2;2;0;Not-determined;NA
NODE_A206_length_3083_cov_44.149701_CE2;4;2;Low-quality;3,90
NODE_A213_length_3048_cov_24.024571_CE2;5;1;Not-determined;NA
NODE_A215_length_3044_cov_20.567240_CE2;1;0;Not-determined;NA
NODE_A216_length_3029_cov_25.857385_CE2;7;3;Medium-quality;53,14
NODE_B42_length_3021_cov_6.331522_CE2;6;0;Not-determined;NA
NODE_A218_length_3014_cov_65.926456_CE2;6;0;Not-determined;NA
NODE_A219_length_3007_cov_20.384642_CE2;1;0;Not-determined;NA
NODE_A222_length_2995_cov_16.928718_CE2;1;0;Not-determined;NA
NODE_A223_length_2993_cov_23.437929_CE2;7;3;Low-quality;6,84
NODE_A226_length_2974_cov_16.654125_CE2;3;0;Not-determined;NA
NODE_A228_length_2972_cov_54.461831_CE2;2;1;Not-determined;NA
NODE_A233_length_2953_cov_37.887691_CE2;3;0;Not-determined;NA
NODE_A234_length_2947_cov_44.220209_CE2;4;0;Low-quality;6,89
NODE_A235_length_2943_cov_33.680740_CE2;2;0;Not-determined;NA
NODE_A236_length_2942_cov_46.889354_CE2;4;0;Not-determined;NA
NODE_A237_length_2941_cov_24.228352_CE2;6;2;Low-quality;5,14
NODE_A238_length_2929_cov_45.968794_CE2;3;0;Low-quality;5,19
NODE_A239_length_2926_cov_19.843805_CE2;3;0;Not-determined;NA
NODE_A242_length_2912_cov_34.823280_CE2;3;0;Not-determined;NA
NODE_A243_length_2908_cov_73.125751_CE2;1;0;Not-determined;NA
NODE_A244_length_2900_cov_16.538789_CE2;2;0;Not-determined;NA
NODE_A245_length_2894_cov_25.415690_CE2;4;0;Not-determined;NA
NODE_A250_length_2874_cov_51.356811_CE2;2;0;Not-determined;NA
NODE_A251_length_2872_cov_18.479428_CE2;2;0;Not-determined;NA
NODE_A252_length_2871_cov_31.830351_CE2;3;0;Not-determined;NA
NODE_A253_length_2871_cov_23.232999_CE2;4;0;Not-determined;NA
NODE_A256_length_2847_cov_18.567870_CE2;5;2;Low-quality;2,72
NODE_A257_length_2843_cov_25.893348_CE2;2;0;Not-determined;NA
NODE_A259_length_2834_cov_37.450127_CE2;2;0;Not-determined;NA
NODE_A263_length_2830_cov_19.333818_CE2;3;2;Low-quality;1,70
NODE_A266_length_2825_cov_9.257642_CE2;5;0;Not-determined;NA
NODE_A267_length_2824_cov_41.796505_CE2;4;3;Low-quality;2,57
NODE_A268_length_2821_cov_19.307580_CE2;2;0;Not-determined;NA
NODE_A270_length_2815_cov_11.583272_CE2;6;0;Low-quality;2,21
NODE_A271_length_2812_cov_21.897989_CE2;6;0;Not-determined;NA
NODE_A272_length_2806_cov_17.880909_CE2;7;0;Low-quality;2,38
NODE_A273_length_2804_cov_20.389806_CE2;2;0;Not-determined;NA
NODE_A274_length_2801_cov_20.018722_CE2;4;0;Not-determined;NA
NODE_A275_length_2801_cov_19.382159_CE2;7;7;Low-quality;6,29
NODE_A276_length_2798_cov_58.668504_CE2;3;0;Not-determined;NA
NODE_A279_length_2790_cov_38.028013_CE2;10;0;Not-determined;NA
NODE_A280_length_2790_cov_16.468854_CE2;2;0;Not-determined;NA
NODE_A282_length_2781_cov_17.034024_CE2;3;0;Not-determined;NA
NODE_A284_length_2768_cov_15.139353_CE2;3;0;Not-determined;NA
NODE_A285_length_2759_cov_20.228188_CE2;3;0;Low-quality;9,26
NODE_A287_length_2749_cov_25.614895_CE2;1;0;Not-determined;NA
NODE_A288_length_2749_cov_17.558757_CE2;1;0;Not-determined;NA
NODE_A289_length_2747_cov_22.992135_CE2;1;0;Not-determined;NA
NODE_A291_length_2731_cov_24.857573_CE2;9;2;Low-quality;1,47
NODE_A293_length_2720_cov_37.748770_CE2;4;3;Low-quality;5,71
NODE_A297_length_2702_cov_39.949333_CE2;5;3;Low-quality;48,15
NODE_A298_length_2701_cov_27.371951_CE2;4;0;Not-determined;NA
NODE_A299_length_2693_cov_40.509557_CE2;6;2;Not-determined;NA
NODE_A300_length_2691_cov_44.387146_CE2;3;0;Not-determined;NA
NODE_A301_length_2689_cov_39.300536_CE2;4;1;Low-quality;3,48
NODE_A303_length_2687_cov_40.022222_CE2;6;0;Not-determined;NA
NODE_A304_length_2682_cov_29.806910_CE2;1;0;Not-determined;NA
NODE_A305_length_2678_cov_17.287197_CE2;4;0;Not-determined;NA
NODE_A306_length_2677_cov_27.618462_CE2;2;0;Not-determined;NA
NODE_A307_length_2676_cov_47.762216_CE2;5;0;Not-determined;NA
NODE_A308_length_2667_cov_65.436680_CE2;4;1;Low-quality;1,70
NODE_A309_length_2666_cov_16.196215_CE2;4;0;Not-determined;NA
NODE_A310_length_2659_cov_17.753679_CE2;6;3;Low-quality;3,09
NODE_A311_length_2656_cov_18.427685_CE2;4;3;Low-quality;17,71
NODE_A314_length_2650_cov_13.269335_CE2;4;0;Not-determined;NA
NODE_A316_length_2646_cov_31.991826_CE2;2;2;Low-quality;1,62
NODE_A317_length_2645_cov_23.278427_CE2;5;3;Low-quality;5,78
NODE_A321_length_2626_cov_35.559827_CE2;2;0;Not-determined;NA
NODE_A322_length_2626_cov_23.608866_CE2;2;0;Not-determined;NA
NODE_A323_length_2625_cov_31.023548_CE2;3;0;Not-determined;NA
NODE_A325_length_2621_cov_76.175314_CE2;4;0;Not-determined;NA
NODE_A326_length_2616_cov_32.703427_CE2;2;1;Not-determined;NA
NODE_B76_length_2615_cov_4.673365_CE2;2;0;Not-determined;NA
NODE_A327_length_2614_cov_12.932992_CE2;5;0;Not-determined;NA
NODE_A328_length_2603_cov_53.975455_CE2;2;1;Low-quality;1,37
NODE_A329_length_2603_cov_18.698337_CE2;1;0;Not-determined;NA
NODE_A330_length_2602_cov_30.078020_CE2;1;0;Not-determined;NA
NODE_A331_length_2601_cov_26.129160_CE2;4;0;Not-determined;NA
NODE_A332_length_2596_cov_21.017467_CE2;3;0;Not-determined;NA
NODE_A334_length_2595_cov_27.565131_CE2;3;0;Not-determined;NA
NODE_A335_length_2593_cov_17.832671_CE2;1;0;Not-determined;NA
NODE_A337_length_2591_cov_29.400557_CE2;3;0;Not-determined;NA
NODE_A338_length_2591_cov_21.749403_CE2;3;0;Low-quality;7,02
NODE_A340_length_2587_cov_25.125498_CE2;1;1;Not-determined;NA
NODE_A341_length_2586_cov_37.001993_CE2;3;0;Not-determined;NA
NODE_A344_length_2579_cov_60.376898_CE2;3;0;Not-determined;NA
NODE_A345_length_2576_cov_17.907963_CE2;5;1;Low-quality;1,48
NODE_A346_length_2575_cov_51.622098_CE2;5;0;Low-quality;5,14
NODE_A349_length_2567_cov_25.008835_CE2;2;0;Not-determined;NA
NODE_A350_length_2565_cov_18.165997_CE2;5;4;Medium-quality;52,20
NODE_A351_length_2563_cov_71.454948_CE2;8;1;Low-quality;3,74
NODE_A353_length_2560_cov_55.501812_CE2;2;0;Not-determined;NA
NODE_A354_length_2560_cov_20.763592_CE2;1;0;Not-determined;NA
NODE_A355_length_2557_cov_35.515323_CE2;3;0;Not-determined;NA
NODE_A356_length_2556_cov_80.147237_CE2;6;0;Not-determined;NA
NODE_A357_length_2556_cov_44.903187_CE2;3;1;Low-quality;1,57
NODE_A358_length_2556_cov_20.332392_CE2;1;0;Not-determined;NA
NODE_A359_length_2556_cov_19.140379_CE2;7;1;Low-quality;11,06
NODE_A360_length_2553_cov_32.980614_CE2;4;2;Low-quality;5,92
NODE_A361_length_2552_cov_20.625051_CE2;2;0;Not-determined;NA
NODE_A362_length_2551_cov_13.118836_CE2;4;0;Not-determined;NA
NODE_A367_length_2543_cov_10.442011_CE2;3;0;Not-determined;NA
NODE_A368_length_2538_cov_37.202763_CE2;3;0;Not-determined;NA
NODE_A369_length_2537_cov_36.353252_CE2;3;3;Low-quality;5,66
NODE_A370_length_2537_cov_26.416667_CE2;3;3;Low-quality;13,41
NODE_A371_length_2536_cov_40.392436_CE2;4;0;Not-determined;NA
NODE_A372_length_2536_cov_11.701098_CE2;1;0;Not-determined;NA
NODE_A374_length_2530_cov_33.903384_CE2;1;0;Low-quality;2,62
NODE_A375_length_2530_cov_33.450469_CE2;2;0;Not-determined;NA
NODE_A376_length_2526_cov_73.748060_CE2;5;0;Not-determined;NA
NODE_A378_length_2521_cov_17.027005_CE2;5;0;Not-determined;NA
NODE_A379_length_2517_cov_19.953689_CE2;5;0;Not-determined;NA
NODE_A381_length_2508_cov_61.093789_CE2;4;0;Not-determined;NA
NODE_A382_length_2499_cov_17.880677_CE2;1;0;Not-determined;NA
NODE_A383_length_2493_cov_11.866722_CE2;3;1;Low-quality;40,34
NODE_A385_length_2491_cov_128.705054_CE2;5;1;Low-quality;19,28
NODE_A386_length_2489_cov_12.530680_CE2;1;0;Not-determined;NA
NODE_A388_length_2485_cov_37.485880_CE2;4;1;Low-quality;5,53
NODE_A389_length_2483_cov_15.221530_CE2;11;1;Low-quality;0,70
NODE_A390_length_2483_cov_14.166251_CE2;6;2;Low-quality;2,42
NODE_A393_length_2480_cov_16.261340_CE2;1;0;Not-determined;NA
NODE_A395_length_2475_cov_18.578816_CE2;1;0;Not-determined;NA
NODE_A396_length_2471_cov_142.216374_CE2;1;0;Not-determined;NA
NODE_A397_length_2469_cov_49.303512_CE2;4;0;Not-determined;NA
NODE_A403_length_2460_cov_23.529585_CE2;5;0;Low-quality;5,49
NODE_A406_length_2457_cov_190.013445_CE2;2;0;Not-determined;NA
NODE_A407_length_2455_cov_17.164424_CE2;1;0;Not-determined;NA
NODE_A408_length_2452_cov_55.217684_CE2;4;0;Not-determined;NA
NODE_A409_length_2450_cov_24.214075_CE2;3;0;Not-determined;NA
NODE_A410_length_2450_cov_10.160978_CE2;1;0;Not-determined;NA
NODE_A411_length_2446_cov_25.902491_CE2;2;0;Not-determined;NA
NODE_A412_length_2446_cov_19.272689_CE2;1;0;Not-determined;NA
NODE_A413_length_2445_cov_70.557432_CE2;2;0;Not-determined;NA
NODE_A414_length_2444_cov_85.440220_CE2;2;0;Not-determined;NA
NODE_A415_length_2442_cov_15.320507_CE2;2;0;Not-determined;NA
NODE_A417_length_2435_cov_26.424512_CE2;4;0;Not-determined;NA
NODE_A419_length_2427_cov_30.256596_CE2;7;2;Low-quality;3,81
NODE_A421_length_2426_cov_13.066837_CE2;3;2;Low-quality;43,21
NODE_A422_length_2424_cov_19.893481_CE2;5;2;Low-quality;2,61
NODE_A423_length_2422_cov_30.011514_CE2;3;0;Not-determined;NA
NODE_A424_length_2421_cov_18.498294_CE2;2;0;Not-determined;NA
NODE_A426_length_2416_cov_15.463018_CE2;6;2;Low-quality;10,46
NODE_A429_length_2411_cov_20.539846_CE2;3;0;Not-determined;NA
NODE_A431_length_2410_cov_27.797685_CE2;2;0;Not-determined;NA
NODE_B100_length_2408_cov_6.370227_CE2;1;0;Not-determined;NA
NODE_A434_length_2404_cov_15.064031_CE2;2;0;Low-quality;4,84
NODE_A435_length_2404_cov_10.712076_CE2;4;0;Not-determined;NA
NODE_A436_length_2401_cov_79.333907_CE2;7;0;Not-determined;NA
NODE_A437_length_2401_cov_43.638124_CE2;7;0;Not-determined;NA
NODE_A438_length_2393_cov_52.673575_CE2;4;0;Low-quality;0,34
NODE_A439_length_2388_cov_28.829944_CE2;1;0;Not-determined;NA
NODE_A440_length_2384_cov_27.217599_CE2;3;1;Low-quality;1,33
NODE_A442_length_2377_cov_18.082174_CE2;5;4;Low-quality;5,75
NODE_A445_length_2370_cov_20.361099_CE2;5;3;Low-quality;4,55
NODE_A447_length_2365_cov_16.840909_CE2;5;1;Low-quality;4,76
NODE_A449_length_2363_cov_40.157918_CE2;3;0;Not-determined;NA
NODE_A452_length_2357_cov_17.036842_CE2;4;4;Low-quality;5,12
NODE_A455_length_2351_cov_33.087511_CE2;3;0;Not-determined;NA
NODE_A456_length_2349_cov_13.119278_CE2;3;0;Not-determined;NA
NODE_A458_length_2345_cov_18.431658_CE2;2;0;Not-determined;NA
NODE_A459_length_2344_cov_82.404499_CE2;6;0;Not-determined;NA
NODE_A461_length_2342_cov_16.694481_CE2;3;0;Not-determined;NA
NODE_A462_length_2339_cov_12.401415_CE2;3;3;Low-quality;5,47
NODE_A465_length_2328_cov_23.681475_CE2;3;0;Not-determined;NA
NODE_A466_length_2324_cov_40.016466_CE2;4;4;Low-quality;5,81
NODE_A468_length_2317_cov_38.359375_CE2;6;1;Low-quality;1,26
NODE_A470_length_2310_cov_16.917152_CE2;4;0;Not-determined;NA
NODE_A471_length_2309_cov_30.914427_CE2;2;0;Not-determined;NA
NODE_A472_length_2309_cov_17.442204_CE2;2;1;Low-quality;2,43
NODE_B108_length_2305_cov_8.399910_CE2;4;0;Not-determined;NA
NODE_A473_length_2301_cov_22.711781_CE2;3;1;Low-quality;2,56
NODE_A474_length_2300_cov_53.872245_CE2;5;1;Low-quality;5,54
NODE_A476_length_2294_cov_62.341001_CE2;1;0;Not-determined;NA
