accession,reference_length,covered_bases,reads_aligned,mean_coverage,RPKMF,sequence_name,taxid,kingdom,phylum,class,order,family,genus,species,subspecies,strain,sample_ID,total_filtered_reads_in_sample,...1,samplingDate,humidity_mean,light_mean,motion_mean,temperature_mean,co2_mean,co2_max,battery_mean,sampling_duration,sensor_samples_co2,sensor_samples_humidity,sensor_samples_temperature,Sample_or_Control,Month,Windows,How many people(average of start and end),...19,...20,...21,...22
GU233853.1,7219,710,59,1.0091951,0.556106,"Human papillomavirus type 129, complete genome",931210,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 9,Human papillomavirus type 129,Human papillomavirus type 129,CE37,14696626,10,2022-03-04,25.1538461538462,179.307692307692,6.23076923076923,21.2384615384615,832.153846153846,941,3641.46153846154,2.25,13,13,13,Sample,March,Closed,17,NA,NA,NA,NA
JQ898291.1,4927,391,5,0.096922755,0.069051,"MW polyomavirus strain MA095, complete genome",1203539,Viruses,Cossaviricota,Papovaviricetes,Sepolyvirales,Polyomaviridae,Deltapolyomavirus,Deltapolyomavirus decihominis,MW polyomavirus,MW polyomavirus,CE37,14696626,10,2022-03-04,25.1538461538462,179.307692307692,6.23076923076923,21.2384615384615,832.153846153846,941,3641.46153846154,2.25,13,13,13,Sample,March,Closed,17,NA,NA,NA,NA
JX262162.1,4939,3188,310,7.159323,4.27076,"Human polyomavirus 10 isolate 10ww, complete genome",1208309,Viruses,Cossaviricota,Papovaviricetes,Sepolyvirales,Polyomaviridae,Deltapolyomavirus,Deltapolyomavirus decihominis,unclassified Deltapolyomavirus decihominis subspecies/strain,unclassified Deltapolyomavirus decihominis strain,CE37,14696626,10,2022-03-04,25.1538461538462,179.307692307692,6.23076923076923,21.2384615384615,832.153846153846,941,3641.46153846154,2.25,13,13,13,Sample,March,Closed,17,NA,NA,NA,NA
KT779555.1,29887,334,19,0.068567775,0.0432567,"Human coronavirus HKU1 isolate BJ01-p3, complete genome",290028,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Betacoronavirus,Human coronavirus HKU1,unclassified Human coronavirus HKU1 subspecies/strain,unclassified Human coronavirus HKU1 strain,CE37,14696626,10,2022-03-04,25.1538461538462,179.307692307692,6.23076923076923,21.2384615384615,832.153846153846,941,3641.46153846154,2.25,13,13,13,Sample,March,Closed,17,NA,NA,NA,NA
KY040275.1,188253,1039,33,0.051870517,0.0119276,"Molluscum contagiosum virus subtype 1 isolate Madrid 2016_3, complete genome",10280,Viruses,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Molluscipoxvirus,Molluscum contagiosum virus,Molluscum contagiosum virus subtype 1,Molluscum contagiosum virus subtype 1,CE37,14696626,10,2022-03-04,25.1538461538462,179.307692307692,6.23076923076923,21.2384615384615,832.153846153846,941,3641.46153846154,2.25,13,13,13,Sample,March,Closed,17,NA,NA,NA,NA
KY490071.1,235397,643,26,0.012986351,0.00751545,"Human betaherpesvirus 5 strain HANChild1, complete genome",10359,Viruses,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Cytomegalovirus,Human betaherpesvirus 5,unclassified Human betaherpesvirus 5 subspecies/strain,unclassified Human betaherpesvirus 5 strain,CE37,14696626,10,2022-03-04,25.1538461538462,179.307692307692,6.23076923076923,21.2384615384615,832.153846153846,941,3641.46153846154,2.25,13,13,13,Sample,March,Closed,17,NA,NA,NA,NA
KY629935.1,7130,317,15,0.16346705,0.143148,"Rhinovirus A59 strain 16-J2, complete genome",185918,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Enterovirus,Rhinovirus A,rhinovirus A59,rhinovirus A59,CE37,14696626,10,2022-03-04,25.1538461538462,179.307692307692,6.23076923076923,21.2384615384615,832.153846153846,941,3641.46153846154,2.25,13,13,13,Sample,March,Closed,17,NA,NA,NA,NA
NC_007455.1,5299,1293,132,3.0629249,1.26562,"Primate bocaparvovirus 1 isolate st2, complete genome",1511871,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Primate bocaparvovirus 1,unclassified Primate bocaparvovirus 1 subspecies/strain,unclassified Primate bocaparvovirus 1 strain,CE11,19682352,8,2022-02-21,32.5454545454545,33.8181818181818,9.36363636363636,20.4636363636364,827.636363636364,1064,3641.18181818182,2.2,11,11,11,Sample,February,Closed,20,NA,NA,NA,NA
NC_012564.1,5242,391,64,1.5131578,0.620306,"Human bocavirus 3, complete genome",638313,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Primate bocaparvovirus 1,Human bocavirus 3,Human bocavirus 3,CE11,19682352,8,2022-02-21,32.5454545454545,33.8181818181818,9.36363636363636,20.4636363636364,827.636363636364,1064,3641.18181818182,2.2,11,11,11,Sample,February,Closed,20,NA,NA,NA,NA
AF043303.1,4679,1394,87,2.2890263,0.94469,"Adeno-associated virus 2, complete genome",10804,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus A,adeno-associated virus 2,adeno-associated virus 2,CE11,19682352,8,2022-02-21,32.5454545454545,33.8181818181818,9.36363636363636,20.4636363636364,827.636363636364,1064,3641.18181818182,2.2,11,11,11,Sample,February,Closed,20,NA,NA,NA,NA
EU796884.1,7899,1333,121,1.8064266,0.778281,"Feline papillomavirus type 2 isolate Main Coon 2007, complete genome",568209,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Dyothetapapillomavirus,Dyothetapapillomavirus 1,Felis domesticus papillomavirus 2,Felis domesticus papillomavirus 2,CE11,19682352,8,2022-02-21,32.5454545454545,33.8181818181818,9.36363636363636,20.4636363636364,827.636363636364,1064,3641.18181818182,2.2,11,11,11,Sample,February,Closed,20,NA,NA,NA,NA
JX262162.1,4939,4059,685,16.614742,7.04652,"Human polyomavirus 10 isolate 10ww, complete genome",1208309,Viruses,Cossaviricota,Papovaviricetes,Sepolyvirales,Polyomaviridae,Deltapolyomavirus,Deltapolyomavirus decihominis,unclassified Deltapolyomavirus decihominis subspecies/strain,unclassified Deltapolyomavirus decihominis strain,CE11,19682352,8,2022-02-21,32.5454545454545,33.8181818181818,9.36363636363636,20.4636363636364,827.636363636364,1064,3641.18181818182,2.2,11,11,11,Sample,February,Closed,20,NA,NA,NA,NA
KU727766.1,5166,563,24,0.5530303,0.236037,"Parus major densovirus isolate PmDNV-JL, complete genome",1907771,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,unclassified Parvoviridae genus,Parus major densovirus,unclassified Parus major densovirus subspecies/strain,unclassified Parus major densovirus strain,CE11,19682352,8,2022-02-21,32.5454545454545,33.8181818181818,9.36363636363636,20.4636363636364,827.636363636364,1064,3641.18181818182,2.2,11,11,11,Sample,February,Closed,20,NA,NA,NA,NA
KY490071.1,235397,5617,345,0.1703061,0.0744631,"Human betaherpesvirus 5 strain HANChild1, complete genome",10359,Viruses,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Cytomegalovirus,Human betaherpesvirus 5,unclassified Human betaherpesvirus 5 subspecies/strain,unclassified Human betaherpesvirus 5 strain,CE11,19682352,8,2022-02-21,32.5454545454545,33.8181818181818,9.36363636363636,20.4636363636364,827.636363636364,1064,3641.18181818182,2.2,11,11,11,Sample,February,Closed,20,NA,NA,NA,NA
JX040418.1,750,118,4,0.68333334,0.27097,"Rotavirus A strain RVA/human-wt/IND/N-1/2009/G6P[14] structural protein VP3 gene, partial cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,CE11,19682352,8,2022-02-21,32.5454545454545,33.8181818181818,9.36363636363636,20.4636363636364,827.636363636364,1064,3641.18181818182,2.2,11,11,11,Sample,February,Closed,20,NA,NA,NA,NA
NC_007455.1,5299,294,10,0.15032046,0.18884,"Primate bocaparvovirus 1 isolate st2, complete genome",1511871,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Primate bocaparvovirus 1,unclassified Primate bocaparvovirus 1 subspecies/strain,unclassified Primate bocaparvovirus 1 strain,CE47,9993384,22,2022-04-27,34.9166666666667,147.083333333333,7.41666666666667,21.2333333333333,745.583333333333,932,3646,2.2,12,12,12,Sample,April,Open,18,NA,NA,NA,NA
GU214704.1,5257,241,20,0.47229293,0.380697,"Chicken parvovirus ABU-P1, complete genome",717641,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Aveparvovirus,Galliform aveparvovirus 1,Chicken parvovirus ABU-P1,Chicken parvovirus ABU-P1,CE47,9993384,22,2022-04-27,34.9166666666667,147.083333333333,7.41666666666667,21.2333333333333,745.583333333333,932,3646,2.2,12,12,12,Sample,April,Open,18,NA,NA,NA,NA
JX262162.1,4939,2467,213,5.19336,4.31547,"Human polyomavirus 10 isolate 10ww, complete genome",1208309,Viruses,Cossaviricota,Papovaviricetes,Sepolyvirales,Polyomaviridae,Deltapolyomavirus,Deltapolyomavirus decihominis,unclassified Deltapolyomavirus decihominis subspecies/strain,unclassified Deltapolyomavirus decihominis strain,CE47,9993384,22,2022-04-27,34.9166666666667,147.083333333333,7.41666666666667,21.2333333333333,745.583333333333,932,3646,2.2,12,12,12,Sample,April,Open,18,NA,NA,NA,NA
KC782514.2,1566,256,40,2.9322033,2.55597,"Rotavirus A human-wt/USA/LB1562/2010/G9P4 NSP1 (NSP1) gene, complete cds",1349389,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Rotavirus A human-wt/USA/LB1562/2010/G9P4,Rotavirus A human-wt/USA/LB1562/2010/G9P4,CE47,9993384,22,2022-04-27,34.9166666666667,147.083333333333,7.41666666666667,21.2333333333333,745.583333333333,932,3646,2.2,12,12,12,Sample,April,Open,18,NA,NA,NA,NA
KC782520.2,2687,485,21,0.98778087,0.782058,"Rotavirus A human-wt/USA/LB1562/2010/G9P4 VP2 (VP2) gene, complete cds",1349389,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Rotavirus A human-wt/USA/LB1562/2010/G9P4,Rotavirus A human-wt/USA/LB1562/2010/G9P4,CE47,9993384,22,2022-04-27,34.9166666666667,147.083333333333,7.41666666666667,21.2333333333333,745.583333333333,932,3646,2.2,12,12,12,Sample,April,Open,18,NA,NA,NA,NA
KJ752082.1,834,132,8,1.5204679,0.959868,"Rotavirus G strain RVG/chicken/ZAF/MRC-DPRU1679/2011/GXP[X] segment 10 non-structural protein 4 (NSP4) gene, complete cds",183407,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus G,unclassified Rotavirus G subspecies/strain,unclassified Rotavirus G strain,CE47,9993384,22,2022-04-27,34.9166666666667,147.083333333333,7.41666666666667,21.2333333333333,745.583333333333,932,3646,2.2,12,12,12,Sample,April,Open,18,NA,NA,NA,NA
MG846442.1,4432,347,33,0.8393274,0.745078,"Chicken chapparvovirus 2 strain RS/BR/15/2S NS1 and capsid protein genes, complete cds",2109367,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Chaphamaparvovirus,Galliform chaphamaparvovirus 2,Chicken chapparvovirus 2,Chicken chapparvovirus 2,CE47,9993384,22,2022-04-27,34.9166666666667,147.083333333333,7.41666666666667,21.2333333333333,745.583333333333,932,3646,2.2,12,12,12,Sample,April,Open,18,NA,NA,NA,NA
KY055429.1,2585,925,29,1.2353183,1.1226,"Rotavirus A strain RVA/Goat-wt/UGA/BUW-14-085/2014/G6P[1] VP3 (VP3) mRNA, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,CE47,9993384,22,2022-04-27,34.9166666666667,147.083333333333,7.41666666666667,21.2333333333333,745.583333333333,932,3646,2.2,12,12,12,Sample,April,Open,18,NA,NA,NA,NA
NC_021583.1,1295,271,4,0.3065502,0.309085,"Rotavirus G chicken/03V0567/DEU/2003 segment 5, complete sequence",994995,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus G,Rotavirus G chicken/03V0567/DEU/2003,Rotavirus G chicken/03V0567/DEU/2003,CE47,9993384,22,2022-04-27,34.9166666666667,147.083333333333,7.41666666666667,21.2333333333333,745.583333333333,932,3646,2.2,12,12,12,Sample,April,Open,18,NA,NA,NA,NA
KJ753392.1,2530,190,3,0.13277312,0.118656,"Rotavirus A strain RVA/Human-wt/ETH/MRC-DPRU861/XXXX/G12P[6] segment 3 RNA capping protein VP3 (VP3) gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,CE47,9993384,22,2022-04-27,34.9166666666667,147.083333333333,7.41666666666667,21.2333333333333,745.583333333333,932,3646,2.2,12,12,12,Sample,April,Open,18,NA,NA,NA,NA
KC178774.1,2687,211,10,0.31336224,0.372409,"Rotavirus A strain PAI11/1996 VP2 mRNA, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,CE47,9993384,22,2022-04-27,34.9166666666667,147.083333333333,7.41666666666667,21.2333333333333,745.583333333333,932,3646,2.2,12,12,12,Sample,April,Open,18,NA,NA,NA,NA
KP882477.1,2508,314,4,0.21967769,0.159595,"Rotavirus A strain RVA/Human-wt/GHA/Ghan-059/2008/G8P[1] segment 3 VP3 (VP3) gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,CE47,9993384,22,2022-04-27,34.9166666666667,147.083333333333,7.41666666666667,21.2333333333333,745.583333333333,932,3646,2.2,12,12,12,Sample,April,Open,18,NA,NA,NA,NA
KC443588.1,2650,155,3,0.116,0.113282,"Rotavirus A strain RVA/Human-wt/AUS/CK20001/1977/G2P[4] segment 2 core capsid protein VP2 (VP2) gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,CE47,9993384,22,2022-04-27,34.9166666666667,147.083333333333,7.41666666666667,21.2333333333333,745.583333333333,932,3646,2.2,12,12,12,Sample,April,Open,18,NA,NA,NA,NA
JQ898291.1,4927,227,16,0.3541972,0.210605,"MW polyomavirus strain MA095, complete genome",1203539,Viruses,Cossaviricota,Papovaviricetes,Sepolyvirales,Polyomaviridae,Deltapolyomavirus,Deltapolyomavirus decihominis,MW polyomavirus,MW polyomavirus,CE31,15419422,2,2022-01-19,30.7692307692308,NA,NA,21,574.538461538462,607,NA,2.36666666666667,13,13,13,Sample,January,Closed,6,NA,NA,NA,NA
JX262162.1,4939,2269,461,11.317812,6.05332,"Human polyomavirus 10 isolate 10ww, complete genome",1208309,Viruses,Cossaviricota,Papovaviricetes,Sepolyvirales,Polyomaviridae,Deltapolyomavirus,Deltapolyomavirus decihominis,unclassified Deltapolyomavirus decihominis subspecies/strain,unclassified Deltapolyomavirus decihominis strain,CE31,15419422,2,2022-01-19,30.7692307692308,NA,NA,21,574.538461538462,607,NA,2.36666666666667,13,13,13,Sample,January,Closed,6,NA,NA,NA,NA
U31779.1,7779,233,39,0.48643336,0.340967,"Human papillomavirus type 21, complete genome",31548,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Betapapillomavirus,Betapapillomavirus 1,human papillomavirus 21,human papillomavirus 21,CE41,14703762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NC_007455.1,5299,238,38,0.85880756,0.422219,"Primate bocaparvovirus 1 isolate st2, complete genome",1511871,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Primate bocaparvovirus 1,unclassified Primate bocaparvovirus 1 subspecies/strain,unclassified Primate bocaparvovirus 1 strain,CE52,16984456,5,2022-01-31,34.8181818181818,132.090909090909,16,20.3090909090909,829.272727272727,917,3641,1.95,11,11,11,Sample,January,Closed,15,NA,NA,NA,NA
KY316160.1,34169,2602,184,0.6399659,0.317054,"Human adenovirus 41 isolate SH/2015/D16, complete genome",10524,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus F,Human adenovirus 41,Human adenovirus 41,CE52,16984456,5,2022-01-31,34.8181818181818,132.090909090909,16,20.3090909090909,829.272727272727,917,3641,1.95,11,11,11,Sample,January,Closed,15,NA,NA,NA,NA
AB060594.1,3234,740,130,5.203632,2.36675,"Torque teno virus 20 ORF4, ORF3, ORF2, ORF1 genes, complete cds, clone: SAa-10",687359,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,Anelloviridae,Alphatorquevirus,Torque teno virus 20,unclassified Torque teno virus 20 subspecies/strain,unclassified Torque teno virus 20 strain,CE52,16984456,5,2022-01-31,34.8181818181818,132.090909090909,16,20.3090909090909,829.272727272727,917,3641,1.95,11,11,11,Sample,January,Closed,15,NA,NA,NA,NA
AF043303.1,4679,4436,4396,117.2601,55.3163,"Adeno-associated virus 2, complete genome",10804,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus A,adeno-associated virus 2,adeno-associated virus 2,CE52,16984456,5,2022-01-31,34.8181818181818,132.090909090909,16,20.3090909090909,829.272727272727,917,3641,1.95,11,11,11,Sample,January,Closed,15,NA,NA,NA,NA
AF261761.1,3736,365,36,1.1505857,0.567341,"Torque teno virus 7 isolate PMV, complete genome",687346,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,Anelloviridae,Alphatorquevirus,Torque teno virus 7,unclassified Torque teno virus 7 subspecies/strain,unclassified Torque teno virus 7 strain,CE52,16984456,5,2022-01-31,34.8181818181818,132.090909090909,16,20.3090909090909,829.272727272727,917,3641,1.95,11,11,11,Sample,January,Closed,15,NA,NA,NA,NA
EF059923.1,2359,372,6,0.35310096,0.149752,"Human rotavirus G9 strain CAU 202 VP4 gene, complete cds",42567,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Rotavirus G9,Rotavirus G9,CE52,16984456,5,2022-01-31,34.8181818181818,132.090909090909,16,20.3090909090909,829.272727272727,917,3641,1.95,11,11,11,Sample,January,Closed,15,NA,NA,NA,NA
GQ845442.1,7304,3512,440,7.28837,3.54683,"Human papillomavirus type 120, complete genome",765052,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Betapapillomavirus,Betapapillomavirus 2,Human papillomavirus 120,Human papillomavirus 120,CE52,16984456,5,2022-01-31,34.8181818181818,132.090909090909,16,20.3090909090909,829.272727272727,917,3641,1.95,11,11,11,Sample,January,Closed,15,NA,NA,NA,NA
JX262162.1,4939,4014,850,21.107328,10.1328,"Human polyomavirus 10 isolate 10ww, complete genome",1208309,Viruses,Cossaviricota,Papovaviricetes,Sepolyvirales,Polyomaviridae,Deltapolyomavirus,Deltapolyomavirus decihominis,unclassified Deltapolyomavirus decihominis subspecies/strain,unclassified Deltapolyomavirus decihominis strain,CE52,16984456,5,2022-01-31,34.8181818181818,132.090909090909,16,20.3090909090909,829.272727272727,917,3641,1.95,11,11,11,Sample,January,Closed,15,NA,NA,NA,NA
JX463183.1,4776,564,41,1.0425854,0.505438,"STL polyomavirus strain MA138, complete genome",1277649,Viruses,Cossaviricota,Papovaviricetes,Sepolyvirales,Polyomaviridae,Deltapolyomavirus,Deltapolyomavirus undecihominis,STL polyomavirus,STL polyomavirus,CE52,16984456,5,2022-01-31,34.8181818181818,132.090909090909,16,20.3090909090909,829.272727272727,917,3641,1.95,11,11,11,Sample,January,Closed,15,NA,NA,NA,NA
KC782515.2,1059,119,4,0.459846,0.222389,"Rotavirus A human-wt/USA/LB1562/2010/G9P4 NSP2 (NSP2) gene, complete cds",1349389,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Rotavirus A human-wt/USA/LB1562/2010/G9P4,Rotavirus A human-wt/USA/LB1562/2010/G9P4,CE52,16984456,5,2022-01-31,34.8181818181818,132.090909090909,16,20.3090909090909,829.272727272727,917,3641,1.95,11,11,11,Sample,January,Closed,15,NA,NA,NA,NA
KC782520.2,2687,163,2,0.10248325,0.0438239,"Rotavirus A human-wt/USA/LB1562/2010/G9P4 VP2 (VP2) gene, complete cds",1349389,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Rotavirus A human-wt/USA/LB1562/2010/G9P4,Rotavirus A human-wt/USA/LB1562/2010/G9P4,CE52,16984456,5,2022-01-31,34.8181818181818,132.090909090909,16,20.3090909090909,829.272727272727,917,3641,1.95,11,11,11,Sample,January,Closed,15,NA,NA,NA,NA
JX134046.1,2915,356,11,0.44810125,0.222179,"TTV-like mini virus isolate TTMV_LY3, complete genome",93678,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,Anelloviridae,Betatorquevirus,TTV-like mini virus,unclassified TTV-like mini virus subspecies/strain,unclassified TTV-like mini virus strain,CE52,16984456,5,2022-01-31,34.8181818181818,132.090909090909,16,20.3090909090909,829.272727272727,917,3641,1.95,11,11,11,Sample,January,Closed,15,NA,NA,NA,NA
EU326526.1,15462,636,70,0.5562957,0.266551,"Human parainfluenza virus 3 strain ZHYMgz01, complete genome",11216,Viruses,Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Respirovirus,Human respirovirus 3,unclassified Human respirovirus 3 subspecies/strain,unclassified Human respirovirus 3 strain,CE52,16984456,5,2022-01-31,34.8181818181818,132.090909090909,16,20.3090909090909,829.272727272727,917,3641,1.95,11,11,11,Sample,January,Closed,15,NA,NA,NA,NA
